"Item type","Authors","Title","Journal","Publication year","Volume","Issue","Pages","Publisher","Address","Proceedings title","Conference location","Date published","ISBN","ISSN","URLs","DOI","Abstract","Keywords","Notes","Sub-type","Series"
"Conference Paper","Pîrlea G,Sergey I","Mechanising Blockchain Consensus","","2018","","","78–90","Association for Computing Machinery","New York, NY, USA","Proceedings of the 7th ACM SIGPLAN International Conference on Certified Programs and Proofs","Los Angeles, CA, USA","2018","9781450355865","","https://doi.org/10.1145/3167086;http://dx.doi.org/10.1145/3167086","10.1145/3167086","We present the first formalisation of a blockchain-based distributed consensus protocol with a proof of its consistency mechanised in an interactive proof assistant. Our development includes a reference mechanisation of the block forest data structure, necessary for implementing provably correct per-node protocol logic. We also define a model of a network, implementing the protocol in the form of a replicated state-transition system. The protocol's executions are modeled via a small-step operational semantics for asynchronous message passing, in which packages can be rearranged or duplicated. In this work, we focus on the notion of global system safety, proving a form of eventual consistency. To do so, we provide a library of theorems about a pure functional implementation of block forests, define an inductive system invariant, and show that, in a quiescent system state, it implies a global agreement on the state of per-node transaction ledgers. Our development is parametric with respect to implementations of several security primitives, such as hash-functions, a notion of a proof object, a Validator Acceptance Function, and a Fork Choice Rule. We precisely characterise the assumptions, made about these components for proving the global system consensus, and discuss their adequacy. All results described in this paper are formalised in Coq.","protocol verification, consensus, blockchain, Coq","","","CPP 2018"
"Journal Article","Venkataramani G,Doudalis I,Solihin Y,Prvulovic M","MemTracker: An Accelerator for Memory Debugging and Monitoring","ACM Trans. Archit. Code Optim.","2009","6","2","","Association for Computing Machinery","New York, NY, USA","","","2009-07","","1544-3566","https://doi.org/10.1145/1543753.1543754;http://dx.doi.org/10.1145/1543753.1543754","10.1145/1543753.1543754","Memory bugs are a broad class of bugs that is becoming increasingly common with increasing software complexity, and many of these bugs are also security vulnerabilities. Existing software and hardware approaches for finding and identifying memory bugs have a number of drawbacks including considerable performance overheads, target only a specific type of bug, implementation cost, and inefficient use of computational resources.This article describes MemTracker, a new hardware support mechanism that can be configured to perform different kinds of memory access monitoring tasks. MemTracker associates each word of data in memory with a few bits of state, and uses a programmable state transition table to react to different events that can affect this state. The number of state bits per word, the events to which MemTracker reacts, and the transition table are all fully programmable. MemTracker's rich set of states, events, and transitions can be used to implement different monitoring and debugging checkers with minimal performance overheads, even when frequent state updates are needed. To evaluate MemTracker, we map three different checkers onto it, as well as a checker that combines all three. For the most demanding (combined) checker with 8 bits state per memory word, we observe performance overheads of only around 3%, on average, and 14.5% worst-case across different benchmark suites. Such low overheads allow continuous (always-on) use of MemTracker-enabled checkers, even in production runs.","memory access monitoring, Accelerator, debugging","","",""
"Conference Paper","Ramli AK,Djemame K","Autonomic Management for Convergent Networks to Support Robustness of Appliance Technologies","","2014","","","47–51","Association for Computing Machinery","New York, NY, USA","Proceedings of the 7th International Conference on Security of Information and Networks","Glasgow, Scotland, UK","2014","9781450330336","","https://doi.org/10.1145/2659651.2660516;http://dx.doi.org/10.1145/2659651.2660516","10.1145/2659651.2660516","Autonomic management within autonomic computing framework is considered as the future and viable solution for many appliances, either in software or hardware. Nevertheless, its current research application in computer networks is mainly visible in the intra domain space, and less attention is given to inter domain between one core network and another. This paper reviews some of the work on autonomic management and presents a framework that can be extended to a global and universal solution, such as fulfilling demand on bandwidth management, Quality of Service (QOS), and Service Level Agreements (SLA). The autonomic computing self- features are considered to show the viability of the proposed framework.","Next generation Networks, Autonomous and Adaptive Security, Adaptive Architecture, Bandwidth Management, Autonomic Management, Service Level Agreements, Information Assurance","","","SIN '14"
"Journal Article","Xu Z,Chen L","L2chain: Towards High-Performance, Confidential and Secure Layer-2 Blockchain Solution for Decentralized Applications","Proc. VLDB Endow.","2022","16","4","986–999","VLDB Endowment","","","","2022-12","","2150-8097","https://doi.org/10.14778/3574245.3574278;http://dx.doi.org/10.14778/3574245.3574278","10.14778/3574245.3574278","With the rapid development of blockchain, the concept of decentralized applications (DApps), built upon smart contracts, has attracted much attention in academia and industry. However, significant issues w.r.t. system throughput, transaction confidentiality, and the security guarantee of the DApp transaction execution and order correctness hinder the border adoption of blockchain DApps.To address these issues, we propose L2chain, a novel blockchain framework aiming to scale the system through a layer-2 network where DApps process transactions in the layer-2 network and only the system state digest, acting as the state integrity proof, is maintained on-chain. To achieve high performance, we introduce the split-execute-merge (SEM) transaction processing workflow with the help of the RSA accumulator, allowing DApps to lock and update a part of the state digest in parallel. We also design a witness cache mechanism for DApp executors to reduce the transaction processing latency. To fulfill confidentiality, we leverage the trusted execution environment (TEE) for DApps to execute encrypted transactions off-chain. To ensure transaction execution and order correctness, we propose a two-step execution process for DApps to prevent attacks (i.e., rollback attacks) from subverting the state transition. Extensive experiments have demonstrated that L2chain can achieve 1.5X to 42.2X and 7.1X to 8.9X throughput improvements in permissioned and permissionless settings respectively.","","","",""
"Conference Paper","Barry BI,Chan HA","On the Performance of a Hybrid Intrusion Detection Architecture for Voice over IP Systems","","2008","","","","Association for Computing Machinery","New York, NY, USA","Proceedings of the 4th International Conference on Security and Privacy in Communication Netowrks","Istanbul, Turkey","2008","9781605582412","","https://doi.org/10.1145/1460877.1460902;http://dx.doi.org/10.1145/1460877.1460902","10.1145/1460877.1460902","Voice over IP (VoIP) environments pose challenging threats to Intrusion Detection Systems (IDSs). Services over VoIP systems are provided by multiple interacting protocols, each with its own vulnerabilities. This scheme could result in novel and more complex attacks, and requires cross-protocol aware IDSs. Furthermore, VoIP devices may suffer a full or partial service loss if the syntax or semantics of the aforementioned protocols are violated. Usually, a single detection approach is suited to identify a subset of the security violations to which a system is subject in VoIP environments. Therefore, a hybrid approach that combines the strengths and avoids the weaknesses of various approaches is needed. In this paper, we discuss the performance and the detection accuracy of a hybrid, host-based intrusion detection system suitable for VoIP environments. Our system has two combined detection modules, namely, a specification-based and a signature-based module. Both modules use State Machines and State Transition Analysis Techniques to model proper protocols' behaviors and potential attacks. Both modules address the issues related to syntax and semantics anomaly detection for the monitored protocols. In addition, our architecture provides a cross-protocol framework for various protocols to exchange useful detection information in real time. We implement our proposed architecture in a network simulator, alongside implementing a variety of attacks to test the credibility of the design. The implemented IDS shows an excellent detection accuracy, and low runtime impact on the performance of the VoIP system.","hybrid detection, intrusion detection, VoIP, performance","","","SecureComm '08"
"Conference Paper","Jin X,Krishnan R,Sandhu R","Reachability Analysis for Role-Based Administration of Attributes","","2013","","","73–84","Association for Computing Machinery","New York, NY, USA","Proceedings of the 2013 ACM Workshop on Digital Identity Management","Berlin, Germany","2013","9781450324939","","https://doi.org/10.1145/2517881.2517891;http://dx.doi.org/10.1145/2517881.2517891","10.1145/2517881.2517891","Attribute-based access control (ABAC) is well-known and increasingly prevalent. Nonetheless, administration of attributes is not well-studied so far. Recently, the Generalized User-Role Assignment model (GURA) was proposed to provide ARBAC97-style (administrative role-based access control) administration of user attributes. An attribute is simply a name-value pair, examples of which include clearance, group and affiliations. In GURA, user attributes are collectively administered by different administrative roles to enable distributed administration. Given an administrative policy that specifies the conditions under which administrative roles can modify user attributes, it is useful to understand whether an attribute of a particular user can reach a specific value because user attributes are used for security-sensitive activities such as authentication, authorization and audit. In this paper, we study the user-attribute reachability problems in a restricted GURA model called rGURA. We formalize rGURA as a state transition system and show that the reachability problems for its general cases are PSPACE-complete. However, we do find polynomial-time solutions to reachability problems for limited versions of rGURA that are still useful in practice. The algorithms not only answer reachability problem but also provide a plan of sequential attribute updates by one or more administrators in order to reach particular values for user attributes. rGURA is relatively simple and practical. It is likely that other proposals will subsume the functionality of rGURA and thereby subsume its complexity results.","attributes, administration, reachability analysis","","","DIM '13"
"Journal Article","Zhang X,Parisi-Presicce F,Sandhu R,Park J","Formal Model and Policy Specification of Usage Control","ACM Trans. Inf. Syst. Secur.","2005","8","4","351–387","Association for Computing Machinery","New York, NY, USA","","","2005-11","","1094-9224","https://doi.org/10.1145/1108906.1108908;http://dx.doi.org/10.1145/1108906.1108908","10.1145/1108906.1108908","The recent usage control model (UCON) is a foundation for next-generation access control models with distinguishing properties of decision continuity and attribute mutability. A usage control decision is determined by combining authorizations, obligations, and conditions, presented as UCONABC core models by Park and Sandhu. Based on these core aspects, we develop a formal model and logical specification of UCON with an extension of Lamport's temporal logic of actions (TLA). The building blocks of this model include: (1) a set of sequences of system states based on the attributes of subjects, objects, and the system, (2) authorization predicates based on subject and object attributes, (3) usage control actions to update attributes and accessing status of a usage process, (4) obligation actions, and (5) condition predicates based on system attributes. A usage control policy is defined as a set of temporal logic formulas that are satisfied as the system state changes. A fixed set of scheme rules is defined to specify general UCON policies with the properties of soundness and completeness. We show the flexibility and expressive capability of this formal model by specifying the core models of UCON and some applications.","security policy, Access control, formal specification, usage control","","",""
"Conference Paper","Zhang W,Wei L,Li S,Liu Y,Cheung SC","ÐArcher: Detecting on-Chain-off-Chain Synchronization Bugs in Decentralized Applications","","2021","","","553–565","Association for Computing Machinery","New York, NY, USA","Proceedings of the 29th ACM Joint Meeting on European Software Engineering Conference and Symposium on the Foundations of Software Engineering","Athens, Greece","2021","9781450385626","","https://doi.org/10.1145/3468264.3468546;http://dx.doi.org/10.1145/3468264.3468546","10.1145/3468264.3468546","Since the emergence of Ethereum, blockchain-based decentralized applications (DApps) have become increasingly popular and important. To balance the security, performance, and costs, a DApp typically consists of two layers: an on-chain layer to execute transactions and store crucial data on the blockchain and an off-chain layer to interact with users. A DApp needs to synchronize its off-chain layer with the on-chain layer proactively. Otherwise, the inconsistent data in the off-chain layer could mislead users and cause undesirable consequences, e.g., loss of transaction fees. However, transactions sent to the blockchain are not guaranteed to be executed and could even be reversed after execution due to chain reorganization. Such non-determinism in the transaction execution is unique to blockchain. DApp developers may fail to perform the on-chain-off-chain synchronization accurately due to their lack of familiarity with the complex transaction lifecycle. In this work, we investigate the challenges of synchronizing on-chain and off-chain data in Ethereum-based DApps. We present two types of bugs that could result in inconsistencies between the on-chain and off-chain layers. To help detect such on-chain-off-chain synchronization bugs, we introduce a state transition model to guide the testing of DApps and propose two effective oracles to facilitate the automatic identification of bugs. We build the first testing framework, ÐArcher, to detect on-chain-off-chain synchronization bugs in DApps. We have evaluated ÐArcher on 11 popular real-world DApps. ÐArcher achieves high precision (99.3%), recall (87.6%), and accuracy (89.4%) in bug detection and significantly outperforms the baseline methods. It has found 15 real bugs in the 11 DApps. So far, six of the 15 bugs have been confirmed by the developers, and three have been fixed. These promising results demonstrate the usefulness of ÐArcher.","Software testing, Blockchain, Decentralized applications, DApps","","","ESEC/FSE 2021"
"Conference Paper","Bando M,Artan NS,Chao HJ","LaFA: Lookahead Finite Automata for Scalable Regular Expression Detection","","2009","","","40–49","Association for Computing Machinery","New York, NY, USA","Proceedings of the 5th ACM/IEEE Symposium on Architectures for Networking and Communications Systems","Princeton, New Jersey","2009","9781605586304","","https://doi.org/10.1145/1882486.1882496;http://dx.doi.org/10.1145/1882486.1882496","10.1145/1882486.1882496","Although Regular Expressions (RegExes) have been widely used in network security applications, their inherent complexity often limits the total number of RegExes that can be detected using a single chip for a reasonable throughput. This limit on the number of RegExes impairs the scalability of today's RegEx detection systems. The scalability of existing schemes is generally limited by the traditional per character state processing and state transition detection paradigm. The main focus of existing schemes is in optimizing the number of states and the required transitions, but not the suboptimal character-based detection method. Furthermore, the potential benefits of reduced number of operations and states using out-of-sequence detection methods have not been explored. In this paper, we propose Looka-head Finite Automata (LaFA) to perform scalable RegEx detection using very small amount of memory. LaFA's memory requirement is very small due to the following three areas of effort described in this paper: (1) Different parts of a RegEx, namely RegEx components, are detected using different detectors, each of which is specialized and optimized for the detection of a certain RegEx component. (2) We systematically reorder the RegEx component detection sequence, which provides us with new possibilities for memory optimization. (3) Many redundant states in classical finite automata are identified and eliminated in LaFA. Our simulations show that LaFA requires an order of magnitude less memory compared to today's state-of-the-art RegEx detection systems. A single commodity Field Programmable Gate Array (FPGA) chip can accommodate up to twenty-five thousand (25k) RegExes. Based on the throughput of our LaFA prototype on FPGA, we estimated that a 34-Gbps throughput can be achieved.","finite automation, deep packet inspection, regular expressions, network intrusion detection system, FPGA, LaFA","","","ANCS '09"
"Conference Paper","Benard V,Richard P,Vanderhaegen F,Caulier P","Contribution to the Characterization and Identification of Human Stability with Regard to Safety: Application to Guided Transport Systems","","2012","","","13–20","Australian Computer Society, Inc.","AUS","Proceedings of the Australian System Safety Conference - Volume 145","Brisbane, Australia","2012","9781921770159","","","","This paper presents an original contribution based on the concept of human stability by identifying the associated risks as part of the safety system assessment. The difficulties to take into account human factors in safety studies are first highlighted and definitions of new ways for the integration of human factors based on the existing concepts of stability and resilience are proposed. Although the stability concept is usually defined around a sustainable equilibrium point that induces a feeling of safety control during normal operation, it appears that the stable behaviour of a human operator can lead to risk in certain situations or contexts such as hypo-vigilance, inattention and so on. The core of this paper lays the foundation of human stability for risks assessment. Here, Human stability is defined as the ability of the operator to stay in a stable operating state under specified conditions. This concept is formalized and 3 modes of stability are developed (time, frequency and sequential modes) in order to identify states and change of states of the human stability. The concept of human stability is then applied in the framework of ERTMS/ETCS and shows that sequences of Human stability states and changes of Human stability states may be precursors of risk. Finally, some perspectives highlight the interest of human stability for the definition of risk indicators to assess system safety, by considering the Human operator as a safety/security multi-criteria sensor for the supervision of human-machine systems.","safety, transportation application, resilience, human stability","","","ASSC '12"
"Conference Paper","Ortiz A","A Bottom-Up Approach to Teaching Server-Side Web Development Skills (Abstract Only)","","2015","","","678","Association for Computing Machinery","New York, NY, USA","Proceedings of the 46th ACM Technical Symposium on Computer Science Education","Kansas City, Missouri, USA","2015","9781450329668","","https://doi.org/10.1145/2676723.2691922;http://dx.doi.org/10.1145/2676723.2691922","10.1145/2676723.2691922","When dealing with the topic of back-end programming many CS web development courses typically focus on how to use a popular web framework, for example Spring MVC or Ruby on Rails. The problem with this approach is that students will most likely end up using some other different framework or technology if ever they decide to become professional web developers. Our students need to learn concepts and skills that serve as a foundation to learn whatever different technologies are used now or happen to appear in the future. This poster presents the author's experience on using a bottom-up approach to teach the fundamental aspects of how the HTTP protocol works, and how this knowledge can be used to get a deep understanding of the inner workings of the web by building a simple yet complete server-side web framework. Using Node.js as the development platform, students are able to take TCP sockets as the building blocks for higher-level web abstractions. This approach allows covering a variety of specific topics that are essential for a professional web developer: request and response structure and headers, HTTP methods, form processing, cookies and sessions, text encodings, MVC software architectural pattern, database integration using ORM (Object-Relational Mapping), REST (Representational State Transfer) architecture, security issues (HTTPS protocol, common web vulnerabilities), and client-side integration using AJAX (Asynchronous JavaScript and XML). Anecdotal evidence shows that students with this knowledge repertoire are better suited for learning, using and debugging new and existing web technologies.","web development, server-side programming, node.js, javascript","","","SIGCSE '15"
"Journal Article","Kang L,Shen H","Detection and Mitigation of Sensor and CAN Bus Attacks in Vehicle Anti-Lock Braking Systems","ACM Trans. Cyber-Phys. Syst.","2022","6","1","","Association for Computing Machinery","New York, NY, USA","","","2022-01","","2378-962X","https://doi.org/10.1145/3495534;http://dx.doi.org/10.1145/3495534","10.1145/3495534","For a modern vehicle, if the sensor in a vehicle anti-lock braking system (ABS) or controller area network (CAN) bus is attacked during a brake process, the vehicle will lose driving direction control and the driver’s life will be highly threatened. However, current methods for detecting attacks are not sufficiently accurate, and no method can provide attack mitigation. To ensure vehicle ABS security, we propose an attack detection method to accurately detect both sensor attack (SA) and CAN bus attack in a vehicle ABS, and an attack mitigation strategy to mitigate their negative effects on the vehicle ABS. In our attack detection method, we build a vehicle state space equation that considers the real-time road friction coefficient to predict vehicle states (i.e., wheel speed and longitudinal brake force) with their previous values. Based on sets of historical measured vehicle states, we develop a search algorithm to find out attack changes (vehicle state changes because of attack) by minimizing errors between the predicted vehicle states and the measured vehicle states. In our attack mitigation strategy, attack changes are subtracted from the measured vehicle states to generate correct vehicle states for a vehicle ABS. We conducted the first real SA experiments to show how a magnet affects sensor readings. Our simulation results demonstrate that our attack detection method can detect SA and CAN bus attack more accurately compared with existing methods, and also that our attack mitigation strategy almost eliminates the attack’s effects on a vehicle ABS.","attack mitigation, Vehicle ABS, attack detection, CAN bus attack, sensor attack","","",""
"Book","","ANC '13: Proceedings of the Second ACM MobiHoc Workshop on Airborne Networks and Communications","","2013","","","","Association for Computing Machinery","New York, NY, USA","","Bangalore, India","2013","9781450322089","","","","On behalf of the organizers, we extend a warm welcome to the second ACM MobiHoc workshop on ""Airborne Networks and Communications"" to all participants. An airborne network is a mobile network consisting of manned and unmanned air vehicles as well as ground vehicles. The ability of ground and air vehicles to communicate voice, video, and data offers enhanced safety and efficiency for the next generation (NextGen) air transportation systems. Airborne networks can benefit many civilian applications such as air-traffic control, border patrol, and search and rescue missions.This workshop is a result of the ideas that emerged from the meetings held over the past few years on topics that focused on cyber-physical systems (CPS) for air transportation as well as NextGen aviation systems. We believe that this workshop is an opportunity for researchers engaged in airborne networking and communications to discuss state-of-the-art, share their research results with their peers, and develop directions for future research in this emerging field.Airborne networking is a cyber-physical system. While computation, communication and networking elements form the cyber components of the system, flight-paths, maneuver geometries, and multi-mode resources including ground-based nodes and control stations form the physical components of the CPS. The synergy between the cyber and physical components, if explored and exploited, will significantly enhance the safety and security capabilities of Next Generation air transportation systems. However, fundamental design principles which are needed to explore this synergy do not exist and experimental datasets which are needed to develop such design principles are beyond the reach of academic community.During this workshop, we will hear from experienced speakers coming from the industry, universities, and federal laboratories on topics covering theoretical foundations and models for mobility, connectivity, and coverage, cyber-physical system perspective of airborne networks, airborne/satellite communication and networking platforms and strategies, protocols for secure information sharing, swarming, collaboration, and self-organization, network trials, test-beds, experiments, and measurements and applications of airborne networking to real world domains such as border patrol, air-traffic control, search and rescue missions, and unmanned cargo. We look forward to your active participation in this workshop.","","","Proceedings",""
"Conference Paper","Sakalis C,Kaxiras S,Ros A,Jimborean A,Själander M","Efficient Invisible Speculative Execution through Selective Delay and Value Prediction","","2019","","","723–735","Association for Computing Machinery","New York, NY, USA","Proceedings of the 46th International Symposium on Computer Architecture","Phoenix, Arizona","2019","9781450366694","","https://doi.org/10.1145/3307650.3322216;http://dx.doi.org/10.1145/3307650.3322216","10.1145/3307650.3322216","Speculative execution, the base on which modern high-performance general-purpose CPUs are built on, has recently been shown to enable a slew of security attacks. All these attacks are centered around a common set of behaviors: During speculative execution, the architectural state of the system is kept unmodified, until the speculation can be verified. In the event that a misspeculation occurs, then anything that can affect the architectural state is reverted (squashed) and re-executed correctly. However, the same is not true for the microarchitectural state. Normally invisible to the user, changes to the microarchitectural state can be observed through various side-channels, with timing differences caused by the memory hierarchy being one of the most common and easy to exploit. The speculative side-channels can then be exploited to perform attacks that can bypass software and hardware checks in order to leak information. These attacks, out of which the most infamous are perhaps Spectre and Meltdown, have led to a frantic search for solutions.In this work, we present our own solution for reducing the microarchitectural state-changes caused by speculative execution in the memory hierarchy. It is based on the observation that if we only allow accesses that hit in the L1 data cache to proceed, then we can easily hide any microarchitectural changes until after the speculation has been verified. At the same time, we propose to prevent stalls by value predicting the loads that miss in the L1. Value prediction, though speculative, constitutes an invisible form of speculation, not seen outside the core. We evaluate our solution and show that we can prevent observable microarchitectural changes in the memory hierarchy while keeping the performance and energy costs at 11% and 7%, respectively. In comparison, the current state of the art solution, InvisiSpec, incurs a 46% performance loss and a 51% energy increase.","side-channel attacks, speculative execution, caches","","","ISCA '19"
"Book","","Airborne '12: Proceedings of the First ACM MobiHoc Workshop on Airborne Networks and Communications","","2012","","","","Association for Computing Machinery","New York, NY, USA","","Hilton Head, South Carolina, USA","2012","9781450312905","","","","On behalf of the organizers, we extend a warm welcome to the first ACM MobiHoc workshop on ""Airborne Networks and Communications"" to all participants. An airborne network is a mobile network consisting of manned and unmanned air vehicles as well as ground vehicles. The ability of ground and air vehicles to communicate voice, video, and data offers enhanced safety and efficiency for the next generation (NextGen) air transportation systems. Airborne networks can benefit many civilian applications such as air-traffic control, border patrol, and search and rescue missions.This workshop is a result of the ideas that emerged from the meetings held over the past few years on topics that focused on cyber-physical systems (CPS) for air transportation as well as NextGen aviation systems. We believe that the time is right for airborne networking and communications to be part of main stream conferences. We believe that this workshop is an opportunity for researchers engaged in airborne networking and communications to discuss state-of-the-art, share their research results with their peers, and develop directions for future research in this emerging field.Airborne networking is a cyber-physical system. While computation, communication and networking elements form the cyber components of the system, flight-paths, maneuver geometries, and multi-mode resources including ground-based nodes and control stations form the physical components of the CPS. The synergy between the cyber and physical components, if explored and exploited, will significantly enhance the safety and security capabilities of Next Generation air transportation systems. However, fundamental design principles which are needed to explore this synergy do not exist and experimental datasets which are needed to develop such design principles are beyond the reach of academic community.During this workshop, we will hear from experienced speakers coming from the industry, universities, and federal laboratories on topics covering theoretical foundations and models for mobility, connectivity, and coverage, cyber-physical system perspective of airborne networks, airborne/satellite communication and networking platforms and strategies, protocols for secure information sharing, swarming, collaboration, and self-organization, network trials, test-beds, experiments, and measurements and applications of airborne networking to real world domains such as border patrol, air-traffic control, search and rescue missions, and unmanned cargo. We look forward to your active participation in this workshop.","","","Proceedings",""
"Conference Paper","Xu C,Ilyevskiy D","Isopod: An Expressive DSL for Kubernetes Configuration","","2019","","","483","Association for Computing Machinery","New York, NY, USA","Proceedings of the ACM Symposium on Cloud Computing","Santa Cruz, CA, USA","2019","9781450369732","","https://doi.org/10.1145/3357223.3365759;http://dx.doi.org/10.1145/3357223.3365759","10.1145/3357223.3365759","Kubernetes is an open-source cluster orchestration system for containerized workloads to reduce idiosyncrasy across cloud vendors [2]. Using Kubernetes, Cruise has built a multi-tenant platform with thousands of cores and tens of terabytes of memory. Such a scale is possible in part thanks to the declarative abstraction of Kubernetes, where desired states are described in YAML manifests [5].However, YAML as a data serialization format is unfit for workload specification. Structured data in YAML are untyped and prone to wrong indents and missing fields. Due to poor meta-programming support, composing YAML with control logic---loops and branches---suffers from YAML fragmentation and indentation tracking (example at bit.ly/yml-hell). Moreover, YAML manifests are often generated by filling a shared template with cluster-specific parameters---the image tag and the replica count might differ in development and production environments. Existing templating tools---Helm [11], Kustomize [9], Kapitan [7] and the likes---assume these parameters are statically known and use CLIs to query dynamic ones, such as secrets stored in HashiCorp Vault [10]. Such scheme is hard to test, since side effects escape through CLIs, and highly depends on the execution environment, since CLI versions vary across machines or might not exist. Not least, YAML manifests describe the eventual state but not how existing workloads will be affected. Blindly applying the manifest---for example, from a stale version of code---can be disastrous and cause unexpected outages.Isopod presents an alternative configuration paradigm by treating Kubernetes objects as first-class citizens. Without intermediate YAML artifacts, Isopod renders Kubernetes objects directly in Protocol Buffers [8], so they are strongly typed and consumed directly by the Kubernetes API. With Isopod, configurations are scripted in Starlark [3], a Python dialect by Google also used by Bazel [1] and Buck [4] build systems. To replace CLI dependencies, Isopod extends Starlark with runtime built-ins to access services and utilities such as Vault, Kubernetes apiserver, Base64 encoder, and UUID generator, etc. Isopod uses a separate runtime for unit tests to mock all built-ins, providing test coverage that was not possible before.Isopod is also hermetic and secure. The common reliance on the kubeconfig file for cluster authentication leaks secrets to disk, a security risk if working from a shared host, such as a cluster node or CICD worker. Instead, Isopod builds Oauth2 tokens [6] to the target cluster using the Identity & Access Management (IAM) service of the cloud vendor. Application secrets are stored in Vault and queried at runtime. Hence, no secrets escape to the disk. In fact, Isopod prohibits disk IO except for loading Starlark modules from other scripts. No external libraries can be loaded unless explicitly implemented as an Isopod built-in. Distributed as a single binary, Isopod is self-contained with all dependencies.Finally, Isopod is extensible. Protobuf packages of Kubernetes API groups added in the future can be loaded in the same way. Because built-ins are modular and pluggable, users can easily implement and register new built-ins with the Isopod runtime to support any Kubernetes vendors. Isopod offers many other features, such as object life cycle management and parallel rollout to multiple clusters, which is impossible if using kubeconfig. In dry-run mode, Isopod displays intended actions from the current code change as a YAML diff against live objects in the cluster to avoid unexpected configuration change.Since the adoption of Isopod, the PaaS team at Cruise has migrated 14 applications and added another 16 without outage or regression, totaling around 10,000 lines of Starlark. The migration results in up to 60% reduction in code size and 80% faster rollout due to code reuse, cluster parallelism, and the removal of YAML intermediaries. All unit tests take less than 10 secs to finish. Isopod is open source at github.com/cruise-automation/isopod.","Configuration Language, Cluster Orchestration","","","SoCC '19"
"Conference Paper","Martin B","Concurrent Programming vs. Concurrency Control: Shared Events or Shared Data","","1988","","","142–144","Association for Computing Machinery","New York, NY, USA","Proceedings of the 1988 ACM SIGPLAN Workshop on Object-Based Concurrent Programming","San Diego, California, USA","1988","9780897913041","","https://doi.org/10.1145/67386.67426;http://dx.doi.org/10.1145/67386.67426","10.1145/67386.67426","Two views of concurrency in an object system exist. Those pursuing concurrent programming believe that activities in the real world are inherently concurrent and therefore objects are themselves active. Objects engage in shared events by sending and receiving messages. Communicating Sequential Processes [Hoar85a] and Actors [Agha86a] embrace this view. On the other hand, those pursuing models of concurrency control believe that objects are data and that concurrent access to data needs to be controlled by the system according to some correctness notion. Database transactions, atomic objects [Weih84a, Schw84a] and nested objects [Mart88a] embrace this view.Concurrent programming, in our view, places a significant burden on programming. Correct concurrent behavior is specified as combinations of interactions within a potentially large set of concurrent objects. A programmer must verify that the implementations of all the objects never produce undesirable interactions. Correctness of concurrent behavior is left to the programmer.We are pursuing models embracing concurrency control primarily because a programmer is not required to consider concurrency. The operations on an object can be specified in terms of preconditions and postconditions and traditional program verification techniques can be used to verify an operation's implementation. A programmer only considers the serial behavior of an object in isolation; he need not concern himself with how other concurrent activities might affect the object. Correctness of interleavings is left to the system.Serializability is the usual correctness notion for concurrency control algorithms. In transaction terminology, each competing transaction executes a sequence of basic actions. Any interleaving of the actions is correct if it is equivalent to some serial execution of the transaction. Serializability allows a transaction to be programmed in isolation, that is without considering possible interleavings with other transactions. The system may indeed interleave the actions of several transactions but it is up to the system to make the interleaving appear serial.Concurrent programming is apparently more general. A programmer can implement anything, including undesirable interactions like deadlock. The price for this generality is that the programmer must reason about global orderings of events and thus correctness is difficult to show.The traditional transaction model is not general enough for programming shared object systems. For example, several researchers, [Bern87a, Garc87a, Pu88a], have recognized that transactions are too restrictive for long-lived activities. The problem is that the transaction model is too conservative. Only reading and writing a data item at a single layer of abstraction is modeled. Once a read-write, write-read or write-write dependency is established between two transactions, it remains for the life of the transaction and limits further interleavings.Our approach is to discover and explore less restrictive correctness notions that still allow programmers to implement operations on objects in isolation. In [Mart88a] we present two such correctness notions: externally serializable computations and semantically verifiable nonserializable computations. Both correctness notions assume the nested object model. In [Mart87a] we give a nested object solution to the Dining Philosophers' Problem [Dijk71a]. Nested objects incorporate both the semantics of an object and the data abstraction hierarchy of an object.Nested objects form a nested object system. A nested object system is hierarchical; objects exist at different levels of the system. The execution of an operation on an object at level i results in the execution of operations on objects at level i-1. However, only top level objects are viewed externally.A computation at level i is a description of the state change made to level i objects and the return values produced by executing a partially ordered set of operations on level i objects. The computations at each level together form an n-level system computation.Externally serializable computations are n-level system computations in which the top level objects are left in states that could be produced by serial computations. However, lower level objects may be left in states that no serial computation could produce. Because both data abstraction hierarchies and operations semantics are considered in the nested object model, dependencies established between concurrent computations can be systematically ignored. Long-lived computations can execute efficiently if dependencies can later be ignored.Nested objects are more general than other models of concurrency control. Transactions are two-level nested objects that read and write basic data items. Atomic objects are two-level nested objects that perform abstract operations.The 1988 Object Based Concurrent Programming Workshop did not directly address the differences between concurrent programming and concurrency control. Perhaps future workshops can contrast the generality, the applicability, the programmability, the security and the performance implications of models from both concurrent programming and concurrency control.","","","","OOPSLA/ECOOP '88"
