"Item type","Authors","Editors","Title","Journal","Publication year","Volume","Issue","Pages","Institution","Publisher","Address","Proceedings title","Date published","ISBN","ISBN (alt.)","ISSN","URLs","DOI","Abstract","Keywords","Notes","Affiliation","Language","Series"
"Conference Paper","Riegler M,Sametinger J,Schoenegger C","Kotsis G,Tjoa AM,Khalil I,Moser B,Taudes A,Mashkoor A,Sametinger J,Martinez-Gil J,Sobieczky F,Fischer L,Ramler R,Khan M,Czech G","Mode Switching for Secure Edge Devices","","2022","1633","","347-356","Software Competence Ctr Hagenberg; JVU, Inst Telecooperat; IIWAS Org","SPRINGER INTERNATIONAL PUBLISHING AG","GEWERBESTRASSE 11, CHAM, CH-6330, SWITZERLAND","DATABASE AND EXPERT SYSTEMS APPLICATIONS, DEXA 2022 WORKSHOPS","2022","9783031143434","9783031143427","1865-0929","http://dx.doi.org/10.1007/978-3-031-14343-4_32","10.1007/978-3-031-14343-4_32","Many devices in various domains operate in different modes. We have suggested to use mode switching for security purposes to make systems more resilient when vulnerabilities are known or when attacks are performed. We will demonstrate the usefulness of mode switching in the context of industrial edge devices. These devices are used in the industry to connect industrial machines like cyber-physical systems to the Internet and/or the vendor's network to allow condition monitoring and big data analytics. The connection to the Internet poses security threats to edge devices and, thus, to the machines they connect to. In this paper (i) we suggest a multi-modal architecture for edge devices; (ii) we present an application scenario; and (iii) we show first reflections on how mode switching can reduce attack surfaces and, thus, increase resilience.","Mode switching; Edge device; Security; Linux; Systemd; Ansible","33rd International Conference on Database and Expert Systems Applications (DEXA), Vienna Univ Econ & Business, Vienna, AUSTRIA, AUG 22-24, 2022","Riegler, M (Corresponding Author), Johannes Kepler Univ Linz, LIT Secure & Correct Syst Lab, Linz, Austria. Riegler, M (Corresponding Author), Johannes Kepler Univ Linz, Dept Business Informat, Linz, Austria. Riegler, Michael; Sametinger, Johannes, Johannes Kepler Univ Linz, LIT Secure & Correct Syst Lab, Linz, Austria. Riegler, Michael; Sametinger, Johannes, Johannes Kepler Univ Linz, Dept Business Informat, Linz, Austria. Schoenegger, Christoph, ENGEL AUSTRIA GmbH, Schwertberg, Austria.","English","Communications in Computer and Information Science"
"Journal Article","Banerjee A,Kundu A","","Cellular Automata based Cryptography Model for Reliable Encryption Using State Transition in Wireless Network Optimizing Data Security","WIRELESS PERSONAL COMMUNICATIONS","2021","119","1","877-918","","SPRINGER","ONE NEW YORK PLAZA, SUITE 4600, NEW YORK, NY, UNITED STATES","","2021-07","","","0929-6212","http://dx.doi.org/10.1007/s11277-021-08243-3","10.1007/s11277-021-08243-3","Authors propose a hardware based approach for reliable encryption in wireless network using Cellular Automata (CA). Distinct layers of encryption have been utilized in proposed model for enhancing data security. Transmitter and receiver modules are designed for performing state transition based encrypted activities. Transmitter module is required for capturing environmental turbulences (noise) from a specific geographical location and send encrypted signal to receiver module through wireless network. Receiver module analyses received signal after decryption for desired activities based on real time situations. Different hardware components are selected and compared based on market study targeting efficient construction of proposed modules. Time complexity and code break complexity are measured using different key lengths, keysets, and data sizes for proposed CA based encryption scheme achieving unique results in hardware based cryptography system. Encryption key length, index, and keyset are required for computing code break complexity in design model. Large data size is effectively managed to calculate protection ratio and reliability factor for realizing efficient protectiveness and accuracy. Comparative study between existing encryption technique and proposed CA based encryption technique is established based on time complexity and code break complexity.","Wireless communication; Encryption system; Advanced encryption system (AES); Cellular automata (CA); CA based encryption; Cryptography; State transition","","Banerjee, A (Corresponding Author), Comp Innovat Res Soc, Howrah 711103, W Bengal, India. Banerjee, Ayan; Kundu, Anirban, Comp Innovat Res Soc, Howrah 711103, W Bengal, India. Kundu, Anirban, Netaji Subhas Engn Coll, Kolkata 700152, India.","English",""
"Conference Paper","Bai Y,Caprin E,Zhang Y","Ali M,Kwon YS,Lee CH,Kim J,Kim Y","Reasoning About the State Change of Authorization Policies","","2015","9101","","109-119","ISAI","SPRINGER-VERLAG BERLIN","HEIDELBERGER PLATZ 3, D-14197 BERLIN, GERMANY","CURRENT APPROACHES IN APPLIED ARTIFICIAL INTELLIGENCE","2015","9783319190662","9783319190655","0302-9743","http://dx.doi.org/10.1007/978-3-319-19066-2_11","10.1007/978-3-319-19066-2_11","Reasoning about authorization policies has been a prominent issue in information security research. In a complex information sharing and exchange environment, a user's request may initiate a sequence of executions of authorization commands in order to decide whether such request should be granted or denied. Becker and Nanz's logic of State-Modifying Policies (SMP) is a formal system addressing such problem in access control. In this paper, we provide a declarative semantics for SMP through a translation from SMP to Answer Set Programming (ASP). We show that our translation is sound and complete for bounded SMP reasoning. With this translation, we are able not only to directly compute users' authorization query answers, but also to specifically extract information of how users' authorization states change in relation to the underlying query answering. In this way, we eventually avoid SMP's tedious proof system and significantly simply the SMP reasoning process. Furthermore, we argue that the proposed ASP translation of SMP also provides a flexibility to enhance SMP's capacity for accommodating more complex authorization reasoning problems that the current SMP lacks.","Access control; Authorization policies; Knowledge representation and reasoning; Logic programming; State change","28th International Conference on Industrial, Engineering and Other Applications of Applied Intelligent Systems (IEA/AIE), Seoul, SOUTH KOREA, JUN 10-12, 2015","Bai, Y (Corresponding Author), Univ Western Sydney, Artificial Intelligence Res Grp, Sch Comp Engn & Math, South Penrith, Australia. Bai, Yun; Caprin, Edward; Zhang, Yan, Univ Western Sydney, Artificial Intelligence Res Grp, Sch Comp Engn & Math, South Penrith, Australia.","English","Lecture Notes in Artificial Intelligence"
"Journal Article","He R,Yan Y,Hu D","","Optimised adaptive control methodology for mode transition of hybrid electric vehicle based on the dynamic characteristics analysis","VEHICLE SYSTEM DYNAMICS","2021","59","8","1282-1303","","TAYLOR & FRANCIS LTD","2-4 PARK SQUARE, MILTON PARK, ABINGDON OR14 4RN, OXON, ENGLAND","","2021-08-03","","","0042-3114","http://dx.doi.org/10.1080/00423114.2020.1752923","10.1080/00423114.2020.1752923","Mode transition plays an important role in the operation of hybrid electric vehicles. The clutch is a key actuator for mode transition, but friction resulting from its use makes it difficult to achieve seamless mode transition. Moreover, as is usual in an electromechanical coupling system, the hybrid powertrain may exhibit complex dynamic behaviours as operating parameters change during mode transition. This paper considered changes in the clutch friction coefficient, and established a mathematical model of the hybrid powertrain in a parallel-series hybrid electric vehicle (PSHEV) during mode transition. The Routh-Hurwitz criterion and bifurcation theory are introduced to analyse the influence of speed difference on the dynamic characteristics of the hybrid powertrain, and the corresponding instability threshold were given. Furthermore, an optimised adaptive control methodology was proposed to control the dynamic behaviours, and tests on PSHEV were carried out. The results show that the variations of speed difference may lead to the occurrence of Fold and Hopf bifurcations, and that once the speed difference reaches the instability threshold, it may cause the system to enter a chaotic state and exhibit random oscillation. The proposed control methodology can effectively expand the security domain and suppress the oscillation to improve smoothness of mode transition.","Hybrid electric vehicle; mode transition; clutch engagement; dynamic characteristics; security domain; adaptive control","","He, R (Corresponding Author), Jiangsu Univ, Sch Automot & Traff Engn, Zhenjiang, Jiangsu, Peoples R China. He, Ren; Yan, Yanzhi; Hu, Donghai, Jiangsu Univ, Sch Automot & Traff Engn, Zhenjiang, Jiangsu, Peoples R China.","English",""
"Journal Article","Yu W,Wen K,Min Y,He L,Huang W,Gong J","","A methodology to quantify the gas supply capacity of natural gas transmission pipeline system using reliability theory","RELIABILITY ENGINEERING & SYSTEM SAFETY","2018","175","","128-141","","ELSEVIER SCI LTD","THE BOULEVARD, LANGFORD LANE, KIDLINGTON, OXFORD OX5 1GB, OXON, ENGLAND","","2018-07","","","0951-8320","http://dx.doi.org/10.1016/j.ress.2018.03.007","10.1016/j.ress.2018.03.007","A methodology to quantify the gas supply capacity of a natural gas transmission pipeline system is developed in this paper. The methodology is based on reliability theory and hydraulic analysis of unsteady flow. Considering the state transition process and change law of the flow rate, two reliability indicators, gas supply satisfaction (S-a) and gas supply supportability (S-u), are proposed to quantify the gas supply capacity. The methodology is first able to simulate the state transition process and the duration of each operating state based on Monte Carlo approach, and then the hydraulic analysis of unsteady flow after the system transits to others states is applied to analyze the change law of the actual flow rate through the commercial software SPS (Stoner Pipeline Simulator). By combining the hydraulic analysis into the simulation of state transition process, the two reliability indicators are calculated. A detailed procedure for gas supply capacity evaluation of a natural gas transmission pipeline system is presented, and its feasibility is confirmed with two case studies including a hypothesis and a real transmission pipeline system. Furthermore, impacts of the line pack, availability of the components and the number of stand-by units on the gas supply capacity are investigated. (C) 2018 Elsevier Ltd. All rights reserved.","Natural gas transmission pipeline system; Gas supply capacity; Gas supply satisfaction; Gas supply supportability; Line pack; Monte Carlo approach","","Wen, K; Gong, J (Corresponding Author), China Univ Petr, Natl Engn Lab Pipeline Safety, Beijing 102249, Peoples R China. Wen, K (Corresponding Author), Xi An Jiao Tong Univ, State Key Lab Mfg Syst Engn, Xian 710049, Shaanxi, Peoples R China. Yu, Weichao; Wen, Kai; Min, Yuan; He, Lei; Gong, Jing, China Univ Petr, Natl Engn Lab Pipeline Safety, Beijing 102249, Peoples R China. Wen, Kai, Xi An Jiao Tong Univ, State Key Lab Mfg Syst Engn, Xian 710049, Shaanxi, Peoples R China. Huang, Weihe, China Natl Petr Corp, Beijing 100007, Peoples R China.","English",""
"Conference Paper","Wu X,He Y,Zhou Z","Li W","A State-Adaptive Access Control Model for Web-based IDRS System","","2009","","","172-175","Huazhong Univ, Sci & Technol; Univ Ukraine, Natl Tech; Huazhong Normal Univ; Harbin Inst Technol; IEEE Ukraine Sect, I & M/CI Joint Chapter","IEEE COMPUTER SOC","10662 LOS VAQUEROS CIRCLE, PO BOX 3014, LOS ALAMITOS, CA 90720-1264 USA","NSWCTC 2009: INTERNATIONAL CONFERENCE ON NETWORKS SECURITY, WIRELESS COMMUNICATIONS AND TRUSTED COMPUTING, VOL 2, PROCEEDINGS","2009","9780769536101","","","http://dx.doi.org/10.1109/NSWCTC.2009.32","10.1109/NSWCTC.2009.32","Role based access control reduces the cost of security administration of large-scale systems. However, it mainly abstracts a user from the function aspect, which is not enough for some complex large-scale systems. In web-based IDRS (Infectious Disease Reporting System), access control is based on not only the function attribute, but domain and category attributes of a user. Meanwhile, the domain and category attributes of a user need to adapt to state changes. We present a state-adaptive access control model that uses role, domain and category attributes to enforce access control. Moreover, it supports dynamic adjustment of domain and category attributes of a user based on state transition.","role based access control; state adaptive; virtual domain; virtual category; CDC","International Conference on Networks Security, Wireless Communications and Trusted Computing, Wuhan, PEOPLES R CHINA, APR 25-26, 2009","Wu, XS (Corresponding Author), Chinese Acad Sci, Inst Software, Beijing, Peoples R China. Wu, Xinsong; He, Yeping; Zhou, Zhouyi, Chinese Acad Sci, Inst Software, Beijing, Peoples R China.","English",""
"Journal Article","Falcao DM,Bezerra UH","","POWER-SYSTEM OPERATING STATE FORECASTING FOR SECURITY ANALYSIS APPLICATIONS","INTERNATIONAL JOURNAL OF ELECTRICAL POWER & ENERGY SYSTEMS","1991","13","6","330-336","","BUTTERWORTH-HEINEMANN LTD","THE BOULEVARD, LANGFORD LANE, KIDLINGTON, OXFORD, OXON, ENGLAND OX5 1GB","","1991-12","","","0142-0615","http://dx.doi.org/10.1016/0142-0615(91)90041-S","10.1016/0142-0615(91)90041-S","A methodology for power system operating state forecasting with applications in the study mode security analysis is described. Additional application areas are advance or dynamic dispatch and measurement replacement. The operating state is represented by the active and reactive nodal injections which are forecast using a four-step procedure: bus active and reactive load forecast, simulation of the economic dispatch and on-line load flow. The multivariate Box and Jenkins approach and the adaptive Kalman filter are used for the active and reactive bus load forecast, respectively. The results of numerical experiments with the proposed methodology indicate a performance with potential for practical applications.","ONLINE CONTROL STRATEGIES; DATA GATHERING AND ANALYSIS; SECURITY ENHANCEMENT","","FALCAO, DM (Corresponding Author), FED UNIV RIO DE JANEIRO,COPPE EE,BR-21945 RIO DE JANEIRO,RJ,BRAZIL.","English",""
"Conference Paper","Dehghanian P,Kezunovic M","","Probabilistic Impact of Transmission Line Switching on Power System Operating States","","2016","","","","IEEE; PES","IEEE","345 E 47TH ST, NEW YORK, NY 10017 USA","2016 IEEE/PES TRANSMISSION AND DISTRIBUTION CONFERENCE AND EXPOSITION (T&D)","2016","9781509021574","","","","","Power system topology control as a planned corrective action in face of contingencies and also as a measure for achieving economic gains in real time market operation has been recently studied as an enhancement in hour- and day-ahead operations. Although attractive from the reliability and economic standpoint, the attention must be paid to the impact on the power system operating states following the switching implementation to make sure the system security performance in the new migrated operating state is not jeopardized. This paper suggests a probabilistic measure to foresee the likelihood of experiencing undesirable operating state following execution of an optimal hour- ahead switching plan. The presented approach can also be helpful in selecting the most practical switching action when the optimization engine can provide multiple optimal switching scenarios. The proposed tool is tested on a modified IEEE 118-Bus Test System to demonstrate its applicability and effectiveness.","Economic; operating state; optimization; probabilistic; security; switching; topology control","IEEE/PES Transmission and Distribution Conference and Exposition (T&D), Dallas, TX, MAY 03-05, 2016","Dehghanian, P (Corresponding Author), Texas A&M Univ, Dept Elect & Comp Engn, College Stn, TX 77843 USA. Dehghanian, Payman; Kezunovic, Mladen, Texas A&M Univ, Dept Elect & Comp Engn, College Stn, TX 77843 USA.","English",""
"Conference Paper","Riegler M,Sametinger J","Kotsis G,Tjoa AM,Khalil I,Moser B,Mashkoor A,Sametinger J,Fensel A,Martinez-Gil J,Fischer L,Czech G,Sobieczky F,Khan S","Mode Switching for Secure Web Applications - A Juice Shop Case Scenario","","2021","1479","","3-8","Software Competence Ctr Hagenberg; JKU Inst Telecooperat; iiwas","SPRINGER INTERNATIONAL PUBLISHING AG","GEWERBESTRASSE 11, CHAM, CH-6330, SWITZERLAND","DATABASE AND EXPERT SYSTEMS APPLICATIONS - DEXA 2021 WORKSHOPS","2021","9783030871017","9783030871000","1865-0929","http://dx.doi.org/10.1007/978-3-030-87101-7_1","10.1007/978-3-030-87101-7_1","Switching modes is a general mechanism that is used in many domains. We have suggested to use it for security purposes to make systems more resilient when vulnerabilities are known or when attacks are performed. OWASP provides several vulnerable web applications for testing and training security skills. We have the idea of applying mode switching to one of these applications in order to demonstrate its usefulness in increasing security. We have chosen Juice Shop as our sample application. In this paper (i) we suggest a multi-modal architecture for web applications; (ii) we present Juice Shop as our web application scenario; and (iii) we show first reflections on how mode switching can reduce attack surfaces and, thus, increase resilience.","Mode switching; Web application; Web shop; Security; Resilience","32nd International Conference on Database and Expert Systems Applications (DEXA), ELECTR NETWORK, SEP 27-30, 2021","Riegler, M; Sametinger, J (Corresponding Author), Johannes Kepler Univ Linz, Dept Business Informat, LIT Secure & Correct Syst Lab, Linz, Austria. Riegler, Michael; Sametinger, Johannes, Johannes Kepler Univ Linz, Dept Business Informat, LIT Secure & Correct Syst Lab, Linz, Austria.","English","Communications in Computer and Information Science"
"Journal Article","Lou Y,Liu S,Jing J","","Experimental Demonstration of a Multifunctional All-Optical Quantum State Transfer Machine","PHYSICAL REVIEW LETTERS","2021","126","21","","","AMER PHYSICAL SOC","ONE PHYSICS ELLIPSE, COLLEGE PK, MD 20740-3844 USA","","2021-05-28","","","0031-9007","http://dx.doi.org/10.1103/PhysRevLett.126.210507","10.1103/PhysRevLett.126.210507","Quantum information protocol with quantum resources shows a great advantage in substantially improving security, fidelity, and capacity of information processing. Various quantum information protocols with diverse functionalities have been proposed and implemented. However, in general, the present quantum information system can only carry out a single information protocol or deal with a single communication task, which limits its practical application in the future. Therefore, it is essential to develop a multifunctional platform compatible with multiple different quantum information protocols. In this Letter, by utilizing an all-optical platform consisting of a gain-tunable parametric amplifier, a beam splitter, and an entanglement source, we experimentally realize the partially disembodied quantum state transfer protocol, which links the all-optical quantum teleportation protocol and the optimal 1 -> N coherent state cloning protocol. As a result, these three protocols, which have different physical essences and functionalities, are implemented in a single all-optical machine. In particular, we demonstrate that the partially disembodied quantum state transfer protocol can enhance the state transfer fidelity compared with all-optical quantum teleportation under the same strength of entanglement. Our all-optical quantum state transfer machine paves a way to implement the multifunctional quantum information system.","","","Jing, JT (Corresponding Author), East China Normal Univ, Sch Phys & Elect Sci, Joint Inst Adv Sci & Technol, State Key Lab Precis Spect, Shanghai 200062, Peoples R China. Jing, JT (Corresponding Author), CAS Ctr Excellence Ultraintense Laser Sci, Shanghai 201800, Peoples R China. Jing, JT (Corresponding Author), Zhejiang Univ, Dept Phys, Hangzhou 310027, Peoples R China. Jing, JT (Corresponding Author), Shanxi Univ, Collaborat Innovat Ctr Extreme Opt, Taiyuan 030006, Shanxi, Peoples R China. Lou, Yanbo; Liu, Shengshuai; Jing, Jietai, East China Normal Univ, Sch Phys & Elect Sci, Joint Inst Adv Sci & Technol, State Key Lab Precis Spect, Shanghai 200062, Peoples R China. Jing, Jietai, CAS Ctr Excellence Ultraintense Laser Sci, Shanghai 201800, Peoples R China. Jing, Jietai, Zhejiang Univ, Dept Phys, Hangzhou 310027, Peoples R China. Jing, Jietai, Shanxi Univ, Collaborat Innovat Ctr Extreme Opt, Taiyuan 030006, Shanxi, Peoples R China.","English",""
"Conference Paper","Yu W,Wen K,Li Y,Huang W,Gong J","","A METHODOLOGY TO ASSESS THE GAS SUPPLY CAPACITY AND GAS SUPPLY RELIABILITY OF A NATURAL GAS PIPELINE NETWORK SYSTEM","","2018","","","","ASME, Inst IPTI","AMER SOC MECHANICAL ENGINEERS","THREE PARK AVENUE, NEW YORK, NY 10016-5990 USA","PROCEEDINGS OF THE 12TH INTERNATIONAL PIPELINE CONFERENCE, 2018, VOL 2","2018","9780791851876","","1537-6788","","","Natural gas pipeline network system is a critical infrastructure connecting gas resource and market, which is composed with the transmission pipeline system, underground gas storage (UGS) and liquefied natural gas (LNG) terminal demand. A methodology to assess the gas supply capacity and gas supply reliability of a natural gas pipeline network system is developed in this paper. Due to random failure and maintenance action of the components in the pipeline network system, the system can be in a number of operating states. The methodology is able to simulate the state transition process and the duration of each operating state based on a Monte Carlo approach. After the system transits to other states, the actual flow rate will change accordingly. The hydraulic analysis, which includes thermal-hydraulic simulation and maximum flow algorithm, is applied to analyze the change law of the actual flow rate. By combining the hydraulic analysis into the simulation of the state transition process, gas supply capacity of the pipeline network system is quantified. Furthermore, considering the uncertainty of market demand, the load duration curve (LDC) method is employed to predict the amount of demand for each consumer node. The gas supply reliability is then calculated by comparing the gas supply capacity with market demand. Finally, a detailed procedure for gas supply capacity and gas supply reliability assessment of a natural gas pipeline network system is presented, and its feasibility is confirmed with a case study. In the case study, the impact of market demand uncertainty on gas supply reliability is investigated in detail.","Natural gas pipeline network system; gas supply capacity; gas supply reliability; Monte Carlo approach; Market demand","12th International Pipeline Conference (IPC 2018), Calgary, CANADA, SEP 24-28, 2018","Yu, WC (Corresponding Author), China Univ Petr, Natl Engn Lab Pipeline Safety, Beijing, Peoples R China. Yu, Weichao; Wen, Kai; Li, Yichen; Gong, Jing, China Univ Petr, Natl Engn Lab Pipeline Safety, Beijing, Peoples R China. Huang, Weihe, China Natl Petr Corp, Beijing, Peoples R China.","English","Proceedings of the International Pipeline Conference"
"Journal Article","YanLi L,YiXin Y","","Probabilistic steady-state and dynamic security assessment of power transmission system","SCIENCE CHINA-TECHNOLOGICAL SCIENCES","2013","56","5","1198-1207","","SCIENCE PRESS","16 DONGHUANGCHENGGEN NORTH ST, BEIJING 100717, PEOPLES R CHINA","","2013-05","","","1674-7321","http://dx.doi.org/10.1007/s11431-013-5173-x","10.1007/s11431-013-5173-x","Two-level system model based probabilistic steady-state and dynamic security assessment model is introduced in this paper. Uncertainties of nodal power injection caused by wind power and load demand, steady-state and dynamic security constraints and transitions between system configurations in terms of failure rate and repair rate are considered in the model. Time to insecurity is used as security index. The probability distribution of time to insecurity can be obtained by solving a linear vector differential equation. The coefficients of the differential equation are expressed in terms of configuration transition rates and security transition probabilities. The model is implemented in complex system successfully for the first time by using the following effective measures: firstly, calculating configuration transition rates effectively based on component state transition rate matrix and system configuration array; secondly, calculating the probability of random nodal power injection belonging to security region effectively according to practical parts of critical boundaries of security region represented by hyper-planes; thirdly, locating non-zero elements of coefficient matrix and then implementing sparse storage of coefficient matrix effectively; finally, calculating security region off-line for on-line use. Results of probabilistic security assessment can be used to conduct operators to analyze system security effectively and take preventive control. Test results on New England 10-generators and 39-buses power system verify the reasonableness and effectiveness of the method.","power transmission system; probabilistic security assessment; time to insecurity; security region; uncertainties of wind power and load demand","","Yu, YX (Corresponding Author), Tianjin Univ, Key Lab Smart Grid, Minist Educ, Tianjin 300072, Peoples R China. Liu YanLi; Yu YiXin, Tianjin Univ, Key Lab Smart Grid, Minist Educ, Tianjin 300072, Peoples R China.","English",""
